word,pos,sentence
a,noun,This concerto is in the key of A major.
a,noun,Sophie got an A for English.
a,determiner,I've bought a car.
a,determiner,She wants to be a doctor when she grows up.
a,determiner,Can you ride a bike?
a,determiner,I only have a limited knowledge of Spanish.
a,determiner,"Take a look at this, Jez."
a,determiner,I'd love a coffee.
a,determiner,a cup and saucer
a,determiner,a few days
a,determiner,There's a Ms Evans to see you.
a,determiner,Is that a Wilson over there?
a,determiner,My birthday is on a Friday this year.
a,determiner,a hundred
a,determiner,half a mile
a,determiner,Take one tablet three times a day.
a,determiner,"She earns $100,000 a year."
a,preposition,Take one tablet three times a day.
a,noun,The teacher gave me an A for my essay.
abandon,verb,We had to abandon the car.
abandon,verb,The game was abandoned at half-time because of the poor weather conditions.
abandon,verb,He abandoned himself to his emotions.
abandon,noun,We danced with wild abandon.
abandon,verb,Air attacks forced the villagers to abandon their homes.
abandon,verb,Archeologists don’t know what could have caused a mass abandonment of the area.
abandon,verb,The car maker has abandoned its plans to build a giant new plant.
abandon,verb,He kept the company going because he didn't want to abandon his staff.
abandon,verb,High winds forced the abandonment of efforts to erect the structure.
ability,noun,There's no doubting her ability.
ability,suffix,suitability
ability,noun,They should not be taking in somebody they don't have the ability to care for.
ability,noun,There's no doubting her ability.
able,adjective,Will she be able to cope with the work?
able,adjective,Get a good night's sleep and you'll feel better able to cope.
able,adjective,an able child/student/secretary
able,suffix,breakable
able,suffix,an admirable person
able,adjective,I lost my job and wasn’t able to afford my old apartment.
able,adjective,He is an able student.
able,adjective,He does his job very ably.
about,preposition,He's always going on about what a great job he's got.
about,preposition,I wish you'd do something about your bedroom - it's a real mess.
about,preposition,Their belongings were flung about the room.
about,preposition,Do you have such a thing as a pen about you/your person? (= Do you have a pen?)
about,adverb,about six feet tall
about,adverb,We're about ready to leave.
about,adverb,They heard someone moving about outside.
about,adverb,She always leaves her clothes lying about on the floor.
about,adverb,Is John about (= somewhere near)?
about,adjective,I was about to leave when Mark arrived.
about,preposition,"""What’s that book about?"" ""It’s about the Civil War."""
about,adverb,He’s about six feet tall.
about,adjective,He looked as if he was about to burst into tears.
about,preposition,"Reporters stood about, waiting for more news."
above,adverb,There's a mirror above the sink.
above,adverb,Rates of pay are above average (= greater than average). 
above,adverb,"Above all, I'd like to thank my family."
above,adverb,Sally's a grade above me.
above,adverb,No one is above suspicion in this matter.
above,adverb,Please send the articles to the address given above.
above,adverb,All of the above (= everyone listed earlier) should be invited.
above,adverb,The helicopter was hovering above the building.
above,adverb,Refer to the diagram shown above.
above,adverb,He’s not above lying to protect himself.
above,plural noun,All of the above are to be included.
abroad,adverb,We always go abroad in the summer.
abroad,adverb,Not a soul was abroad that morning.
abroad,adverb,There's a rumour abroad that she intends to leave the company.
abroad,adverb,They used to go abroad every summer.
absolute,adjective,a man of absolute integrity/discretion
absolute,adjective,He's an absolute idiot!
absolute,adjective,an absolute law/principle/doctrine
absolute,adjective,an absolute monarch
absolute,adjective,She demanded absolute silence.
absolute,adjective,Health insurance is an absolute necessity.
absolute,adjective,"The board said they had absolute confidence in the CEO, despite the company's difficulties."
absolute,adjective,It's an absolute disgrace!
absolutely,adverb,I believed/trusted him absolutely.
absolutely,adverb,It's absolutely impossible to work with all this noise.
absolutely,adverb,"""It was an excellent film, though."" ""Absolutely!"""
absolutely,adverb,"""Are you too tired to continue?"" ""Absolutely not!"""
absolutely,adverb,You are absolutely right.
absolutely,adverb,"""Can you lend me $10 till tomorrow?"" ""Absolutely, it’s no problem."""
absolutely,adverb,"""You mean you won’t sign this?"" ""No, absolutely not."""
academic,adjective,academic subjects/qualifications/books
academic,adjective,I was never a particularly academic child.
academic,adjective,a purely academic argument/question
academic,noun,Her son seems to prefer sports over academics.
academic,adjective,"Which diamond ring you like more is purely academic, because I can’t afford either one."
academic,adjective,Employers nowadays are more interested in candidates' abilities and personality rather than just academic qualifications.
academic,adjective,"Like many entrepreneurs, he was not particularly academic at school."
academic,noun,The research company was founded by a group of academics from Stockholm University.
accept,verb,Do you accept credit cards?
accept,verb,"We've offered her the job, but I don't know whether she'll accept it."
accept,verb,The manuscript was accepted for publication last week.
accept,verb,The police refused to accept her version of the story.
accept,verb,She accepted the job offer.
accept,verb,We accepted an invitation to visit China.
accept,verb,He was accepted by three colleges.
accept,verb,She never felt accepted by the other girls in her sorority.
accept,verb,Do you accept credit cards?
accept,verb,"We've offered her the job, but I don't know whether she'll accept."
accept,verb,We are pleased to announce that we have been accepted as a full member of the Association of Consultant Engineers.
accept,verb,The decision by insurance underwriters to accept the risk demonstrates the strength of his case.
acceptable,adjective,Clearly we need to come to an arrangement that is acceptable to both parties.
acceptable,adjective,"Her performance was acceptable, but not stunning."
acceptable,adjective,An offer that is acceptable to the union leaders might still be voted down by the union members.
acceptable,adjective,"In those days, it was not acceptable for men to wear shirts without ties."
access,noun,The only access to the village is by boat.
access,noun,The system has been designed to give the user quick and easy access to the required information.
access,verb,It is too difficult for anyone using a wheelchair to access the building.
access,verb,Older people may have difficulty accessing medical services.
access,verb,Most people use their phones to access the internet. 
access,noun,"Without an official pass, the guards will deny you access to (= will not let you enter) the courthouse."
access,noun,Many of the families do not have access to health care.
access,verb,People now can access information from the Internet as never before.
access,noun,Community radio stations have access to public funding.
access,noun,She was granted access to the official archives.
access,noun,Do you have access to the internet?
access,noun,The site has easy access to the motorway.
access,noun,Our website gives us access to global markets.
access,noun,Some accounts allow instant access to your savings.
access,noun,Many fathers go to court to seek access to their children.
access,verb,Many users now access the internet via their mobile phones.
access,verb,You can access your account online or by phone.
access,verb,We advise staff on how to access appropriate training.
accident,noun,Josh had an accident and spilled water all over his work.
accident,noun,"Social status is often merely an accident of birth (= caused by whether people are born rich, poor, etc.)."
accident,noun,He was killed in an automobile accident at the age of 21.
accident,noun,It’s no accident that (= There are reasons that explain why) she was chosen to be a member of the most powerful committee in Congress.
accident,noun,The fire began shortly after 1:30 a.m. and appears to have been accidental.
accident,noun,He accidentally left the water running and flooded a bathroom floor in the hotel.
accommodation,noun,They paid for his flights and hotel accommodation.
accommodation,noun,We were assigned first-class accommodation on the train.
accommodation,noun,She may be able to reach an accommodation with other EU members on the question of immigration.
accommodation,noun,The hotel tries to make accommodations for people with small children.
accommodation,noun,"When two people from different social backgrounds meet, there is often a tendency for their ways of speaking to alter so that they become more alike, a process known as accommodation."
accommodation,noun,"One of the most common forms of accommodation is that consonants tend to be labialized when followed by a rounded vowel, as in cool or rude."
accommodation,noun,"The cost, including flights, accommodation, and meals, was €100,000."
accommodation,noun,"I thought we could come to an accommodation about what is a reasonable use of the site, but all we heard was ""No, I don't negotiate""."
accompany,verb,The course books are accompanied by four CDs.
accompany,verb,Would you like me to accompany you to your room?
accompany,verb,"""May I accompany you to the ball?"" he asked her."
